No,date,TimeBarStart,year,month,day,hour,minute,ticker,call,strike,expiration_date,option_price,underlying_price,moneyness,days_to_ex,std_underlying,treasury_rate
2354,20220209,11:13:00 AM,2022,2,9,11,13,SPY,C,500,6/17/2022,2.67,455.935,0.91187,92,0.000402043,0.27
2355,20220209,11:14:00 AM,2022,2,9,11,14,SPY,C,500,6/17/2022,2.7,455.925,0.91185,92,0.000428547,0.27
2356,20220209,11:15:00 AM,2022,2,9,11,15,SPY,C,500,6/17/2022,2.65,456.095,0.91219,92,0.000533751,0.27
2357,20220209,11:20:00 AM,2022,2,9,11,20,SPY,C,500,6/17/2022,2.65,456.265,0.91253,92,0.000595653,0.27
2358,20220209,11:35:00 AM,2022,2,9,11,35,SPY,C,500,6/17/2022,2.74,456.395,0.91279,92,0.000614676,0.27
2359,20220209,11:44:00 AM,2022,2,9,11,44,SPY,C,500,6/17/2022,2.65,456.045,0.91209,92,0.000483746,0.27
2360,20220209,11:46:00 AM,2022,2,9,11,46,SPY,C,500,6/17/2022,2.72,456.205,0.91241,92,0.000498702,0.27
2361,20220209,11:48:00 AM,2022,2,9,11,48,SPY,C,500,6/17/2022,2.74,456.24,0.91248,92,0.00047878,0.27
2362,20220209,11:57:00 AM,2022,2,9,11,57,SPY,C,500,6/17/2022,2.7,455.955,0.91191,92,0.00052351,0.27
2363,20220209,11:59:00 AM,2022,2,9,11,59,SPY,C,500,6/17/2022,2.68,455.875,0.91175,92,0.000468618,0.27
2364,20220209,12:05:00 PM,2022,2,9,12,5,SPY,C,500,6/17/2022,2.68,455.715,0.91143,92,0.00037698,0.27
2365,20220209,12:19:00 PM,2022,2,9,12,19,SPY,C,500,6/17/2022,2.68,456.055,0.91211,92,0.000520852,0.27
2366,20220209,12:20:00 PM,2022,2,9,12,20,SPY,C,500,6/17/2022,2.65,455.995,0.91199,92,0.000514913,0.27
2367,20220209,12:23:00 PM,2022,2,9,12,23,SPY,C,500,6/17/2022,2.7,456.125,0.91225,92,0.000441966,0.27
2368,20220209,12:25:00 PM,2022,2,9,12,25,SPY,C,500,6/17/2022,2.67,456.225,0.91245,92,0.000420875,0.27
